timestep,robot_id,x,y,yaw
1859,khiv17,-0.208163,1.25276,-2.73315
1859,khiv18,-1.6328,0.179346,2.42919
1859,khiv19,-1.96146,1.15007,1.27798
1859,khiv2,0.0175678,1.43616,-2.23373
1859,khiv20,-1.90315,1.28384,1.1417
1859,khiv21,-0.0666955,0.478115,-2.32006
1859,khiv22,0.193151,0.892852,-2.03294
1859,khiv23,-0.984531,0.0191933,-3.03929
1859,khiv24,-1.75621,0.320846,2.1385
1859,khiv25,-1.89664,0.594264,1.76994
1859,khiv26,-1.34412,1.96128,0.575267
1859,khiv27,-0.636384,0.18621,-2.65707
1859,khiv28,-0.242913,2.16612,-0.631636
1859,khiv29,-0.756074,2.21824,0.0911496
1859,khiv3,-0.343963,1.21566,0.415443
1859,khiv4,-1.29524,0.0365655,2.84051
1859,khiv5,-0.100604,2.0317,-0.91337
1859,khiv6,-1.60245,1.74794,0.901152
1859,khiv7,-1.47934,1.86116,0.728198
1859,khiv8,-0.461522,0.180786,-2.60159
1859,khiv9,-0.715052,0.0695595,-2.85363
1860,khiv0,-1.88888,1.03434,1.41333
1860,khiv1,-0.0900155,1.3196,-2.43165
1860,khiv10,-1.15809,2.066,0.449139
1860,khiv11,-0.552671,2.20351,0.0269056
1860,khiv12,-0.259029,0.310963,-2.46765
1860,khiv13,0.0815899,1.7128,-1.3771
1860,khiv14,-1.9232,0.896729,1.44049
1860,khiv15,-0.424295,2.26122,-0.343356
1860,khiv16,-1.76894,1.5367,1.06371
1860,khiv17,-0.212782,1.25078,-2.79577
1860,khiv18,-1.63661,0.18259,2.35329
1860,khiv19,-1.95987,1.15581,1.32163
1860,khiv2,0.013962,1.43149,-2.19008
1860,khiv20,-1.90073,1.28922,1.18534
1860,khiv21,-0.0708009,0.47374,-2.26314
1860,khiv22,0.190549,0.887558,-1.9893
1860,khiv23,-0.989606,0.0186986,-3.1019
1860,khiv24,-1.7594,0.325803,2.18214
1860,khiv25,-1.89784,0.60004,1.81358
1860,khiv26,-1.33919,1.96453,0.61891
1860,khiv27,-0.641646,0.183764,-2.60015
1860,khiv28,-0.238133,2.16266,-0.587993
1860,khiv29,-0.7511,2.21873,0.0152482
1860,khiv3,-0.348929,1.21497,0.459086
1860,khiv4,-1.30089,0.038285,2.88415
1860,khiv5,-0.0975081,2.02765,-0.975989
1860,khiv6,-1.59926,1.75192,0.838533
1860,khiv7,-1.47496,1.86511,0.771842
1860,khiv8,-0.466565,0.177726,-2.55795
1860,khiv9,-0.720827,0.0674619,-2.80998
1861,khiv0,-1.88787,1.04,1.47025
1861,khiv1,-0.0944961,1.31577,-2.37472
1861,khiv10,-1.15279,2.06859,0.492782
1861,khiv11,-0.547613,2.20358,-0.035713
1861,khiv12,-0.263733,0.30724,-2.41072
1861,khiv13,0.0827625,1.70702,-1.33345
1861,khiv14,-1.92239,0.902674,1.49742
1861,khiv15,-0.418451,2.25951,-0.405974
1861,khiv16,-1.76644,1.54115,1.00109
1861,khiv17,-0.218298,1.24874,-2.75213
1861,khiv18,-1.64079,0.186746,2.39693
1861,khiv19,-1.95864,1.16159,1.25901
